,Year,2000,,,,2001,,,,2002,,,,2003,,,,2004,,,,2005,,,,2006,,,,2007,,,,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,
,Gender,M,,F,,M,,F,,M,,F,,M,,F,,M,,F,,M,,F,,M,,F,,M,,F,,M,,F,,M,,F,,M,,F,,M,,F,,M,,F,,M,,F,,M,,F,
Community Area,Community Area Name,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate 
18,Montclaire,,,,,,,,,,,5,59.7,5,170.9,,,,,,,,,,,,,,,,,,,,,5,61.2,,,5,61.5,,,,,,,,,,,7,86.4,,,5,61.7,<5,,0,
19,Belmont Cragin,9,45.9,,,25,127.9,,,33,169.2,,,23,118.2,,,20,103,,,23,118.7,,,18,93.1,,,12,62.2,,,19,98.7,,,16,83.3,,,17,88.7,0,,27,140.9,,,29,151.3,5,182.6,25,130.4,5,182.6,24,125.2,6,219.1
20,Hermosa,11,160.5,17,93.2,6,88.5,21,115.5,10,149.1,30,165.4,13,195.9,23,127.2,15,228.6,32,177.5,11,169.5,22,122.3,5,77.9,23,128.3,8,126.1,18,100.7,8,127.6,21,117.8,,,23,129.4,5,81.6,32,180.5,7,114.3,17,95.9,12,196,34,191.8,5,81.6,32,180.5,9,147,28,157.9
21,Avondale,6,51.5,8,123.5,9,77.8,16,249.5,15,130.6,10,157.5,6,52.6,7,111.4,7,61.8,18,289.5,10,88.9,8,130,15,134.3,13,213.6,9,81.2,,,6,54.5,13,218.3,11,100.7,11,186.7,13,119.9,11,188.8,10,92.2,9,154.5,21,193.6,12,206,19,175.2,5,85.8,36,331.9,12,206
22,Logan Square,37,155.2,6,58.9,43,181.8,6,59.4,48,204.5,21,209.5,38,163.2,15,150.9,39,168.9,11,111.5,41,179,11,112.4,43,189.3,23,237,36,159.8,9,93.5,27,120.8,10,104.8,26,117.3,7,74,32,145.6,,,35,159.3,8,85.3,48,218.5,8,85.3,45,204.8,6,63.9,54,245.8,7,74.6
23,Humboldt park,244,1628.1,27,124.3,186,1261.3,37,170.9,218,1502.7,44,203.8,171,1198.6,47,218.4,143,1019.5,64,298.3,139,1008.2,48,224.4,116,856.3,32,150.1,145,1089.7,29,136.5,107,818.9,30,141.6,93,725.1,30,142.1,88,699.2,29,137.8,118,937.5,44,209,122,969.3,38,180.5,106,842.2,19,90.3,80,635.6,13,61.8
24,West Town,76,276.2,209,1297.8,78,283.6,197,1244.5,92,334.7,209,1343.5,63,229.4,179,1171.3,68,247.7,224,1492.5,51,185.9,190,1289.5,43,156.8,166,1148,59,215.3,191,1346.4,45,164.3,200,1437.6,34,124.2,164,1202.5,45,164.5,133,995.2,50,182.8,165,1234.7,73,266.9,172,1287,64,234,150,1122.4,64,234,129,965.3
25,Austin,660,2854.4,56,236.6,602,2652.9,61,255.3,605,2717.6,70,290.2,442,2024.6,57,234.1,379,1770.9,73,297.1,405,1931.1,75,302.4,378,1840.1,55,219.8,369,1834.7,52,206,340,1727.5,47,184.5,260,1350.5,50,194.6,239,1269.8,45,173.6,316,1678.9,46,177.5,358,1902,48,185.2,348,1848.9,46,177.5,225,1195.4,43,165.9
26,West Garfield Park,146,3310.7,542,1927.7,128,2960.2,556,2021.5,128,3020.3,500,1859.2,93,2239.3,501,1906.3,93,2286.7,509,1982.9,107,2687.8,485,1935.6,88,2259.3,485,1984,73,1916.5,476,1997.2,90,2416.8,416,1791.5,46,1264.4,451,1994.8,60,1689.2,368,1673,83,2336.7,383,1741.1,95,2674.5,442,2009.4,94,2646.4,452,2054.8,57,1604.7,301,1368.4
27,East Garfield Park,131,3134.7,112,2097.4,146,3485.3,156,2992.5,137,3262.7,118,2320.1,126,2994.3,112,2258.5,84,1991.5,96,1986.8,96,2270.6,129,2741.2,101,2383.2,126,2751.7,72,1694.9,117,2628,99,2325.6,137,3167.6,75,1757.7,124,2953.8,68,1589.9,95,2333.6,74,1730.2,130,3193.3,95,2221.2,151,3709.2,89,2080.9,126,3095.1,64,1496.4,94,2309
